Aktywacja,Neurony,Najlepszy Test MSE,Seed
sigmoid,10,0.9631382822990417,42
sigmoid,30,0.6328530311584473,999
sigmoid,50,0.3896862864494324,999
tanh,10,0.46077844500541687,42
tanh,30,0.11438322812318802,999
tanh,50,0.036670323461294174,42
relu,10,0.6720253229141235,42
relu,30,0.21150949597358704,42
relu,50,0.05351439490914345,123
